date,start_city,end_city,distance_km,cargo_weight_kg,vehicle_type,weather_condition,traffic_density,fuel_type,fuel_consumption_liters,carbon_emissions_kg,delivery_time_hours,cost_inr
2024-02-21,Bangalore,Pune,720.63,2185.76,Van,Foggy,Medium,Electric,145.17,73.53,10.23,7043.03
2024-03-18,Delhi,Pune,1189.34,4354.2,Van,Cloudy,Low,Electric,224.07,138.34,19.63,19918.34
2023-11-15,Jaipur,Ahmedabad,511.15,817.56,Van,Clear,Low,CNG,69.12,140.29,7.28,6735.77
2023-08-13,Mumbai,Kolkata,1752.12,3135.99,Van,Stormy,Low,CNG,374.01,729.99,23.29,21529.84
2023-10-10,Mumbai,Kolkata,1767.92,2246.76,Container,Rainy,Medium,Diesel,933.71,2668.03,31.39,18047.48
2023-09-18,Delhi,Jaipur,215.95,2955.28,Truck,Rainy,Medium,CNG,85.8,201.59,3.17,3833.33
2023-07-16,Ahmedabad,Jaipur,552.64,4825.36,Truck,Foggy,High,Petrol,272.19,665.76,11.6,9152.48
2024-02-25,Bangalore,Delhi,1722.84,1935.39,Van,Foggy,Medium,CNG,339.93,673.15,42.96,23506.5
2023-06-26,Lucknow,Ahmedabad,992.47,1031.74,Truck,Foggy,High,Electric,363.74,197.32,18.62,13755.48
2023-10-20,Pune,Jaipur,1003.44,4448.62,Van,Rainy,High,Petrol,282.72,747.94,18.14,16264.6
2023-07-17,Pune,Mumbai,165.59,1769.16,Van,Foggy,High,Electric,36.42,19.36,2.08,3127.82
2024-03-21,Bangalore,Jaipur,1587.97,4130.76,Truck,Rainy,High,CNG,777.89,1401.94,36.08,24162.35
2023-07-29,Delhi,Lucknow,472.81,2174.08,Van,Clear,High,Petrol,93.54,218.6,6.32,8079.74
2023-11-29,Delhi,Jaipur,213.25,4688.41,Van,Cloudy,High,Electric,53.44,29.83,4.93,4540.65
2023-11-13,Jaipur,Pune,944.96,3878.92,Van,Foggy,High,Diesel,245.09,729.0,22.11,13674.09
2024-01-25,Kolkata,Chennai,1364.03,4561.49,Container,Clear,Medium,Diesel,713.8,1963.03,20.87,21524.54
2023-06-16,Ahmedabad,Bangalore,1312.5,1940.22,Container,Cloudy,Low,Diesel,514.22,1381.01,18.27,14165.4
2023-10-17,Hyderabad,Ahmedabad,895.07,548.77,Truck,Rainy,High,Electric,327.32,177.63,13.31,8563.06
2023-09-12,Bangalore,Delhi,1763.37,4777.73,Container,Foggy,High,Petrol,1217.43,2775.65,23.05,18262.41
2024-04-05,Ahmedabad,Kolkata,1849.29,2518.0,Van,Cloudy,High,Diesel,394.99,1171.33,25.62,27719.57
2023-11-24,Jaipur,Bangalore,1510.08,3526.33,Truck,Foggy,Medium,CNG,600.29,1023.17,19.24,21140.77
2023-05-02,Ahmedabad,Kolkata,1792.21,4053.28,Truck,Foggy,Medium,Diesel,740.2,2116.07,32.44,20867.66
2023-10-17,Kolkata,Hyderabad,1237.77,759.01,Truck,Foggy,Medium,Diesel,391.38,954.78,16.59,17025.3
2023-04-23,Mumbai,Jaipur,823.36,4494.67,Van,Rainy,High,CNG,232.72,531.41,12.58,12412.75
2023-01-18,Bangalore,Delhi,1705.89,1143.46,Container,Clear,Medium,Electric,683.15,330.6,27.0,22964.08
2023-03-09,Delhi,Hyderabad,1296.47,955.05,Van,Foggy,Low,Petrol,204.17,535.67,18.14,18803.45
2024-04-12,Hyderabad,Lucknow,1097.4,827.43,Container,Cloudy,Low,CNG,389.88,718.02,15.04,12894.37
2024-01-22,Kolkata,Pune,1699.89,866.07,Truck,Foggy,Low,Petrol,472.04,1185.56,21.61,24267.22
2023-05-16,Pune,Lucknow,1141.45,4157.6,Van,Clear,Medium,Diesel,232.3,534.95,18.57,14844.23
2023-08-30,Kolkata,Ahmedabad,1720.47,875.75,Container,Cloudy,Low,Petrol,613.97,1611.16,41.96,24850.7
2023-11-22,Jaipur,Hyderabad,1114.72,2409.0,Container,Rainy,High,Diesel,674.33,2073.84,15.28,17218.18
2023-06-05,Kolkata,Ahmedabad,1738.56,2608.97,Truck,Rainy,Low,Diesel,584.57,1565.94,21.78,16626.17
2023-12-10,Chennai,Lucknow,1545.78,3857.2,Truck,Foggy,Medium,CNG,629.51,1120.23,19.82,21831.1
2024-03-02,Jaipur,Pune,980.48,2186.92,Container,Rainy,Medium,Diesel,515.3,1393.28,16.46,11738.33
2023-08-16,Kolkata,Mumbai,1796.75,1506.18,Container,Cloudy,Low,Electric,678.36,325.57,23.03,25886.27
2023-05-22,Delhi,Pune,1189.9,4968.34,Container,Cloudy,Low,Electric,584.42,320.95,25.0,13020.88
2023-01-26,Ahmedabad,Delhi,811.54,4861.86,Container,Rainy,High,Diesel,587.97,1453.96,11.35,10306.89
2024-02-21,Bangalore,Kolkata,1715.26,3630.87,Truck,Stormy,Low,Petrol,675.44,1623.64,22.93,19482.44
2024-02-13,Bangalore,Mumbai,963.96,3129.41,Van,Rainy,Low,CNG,189.84,340.04,20.52,13737.07
2023-01-09,Mumbai,Chennai,1050.86,3290.6,Truck,Cloudy,Low,CNG,325.89,693.94,22.37,10437.6
2024-02-03,Pune,Lucknow,1171.87,2586.64,Truck,Clear,Medium,Electric,376.94,177.17,21.51,15538.18
2023-08-23,Ahmedabad,Lucknow,1073.56,849.81,Truck,Stormy,Low,CNG,336.5,534.64,16.33,9247.51
2023-02-07,Ahmedabad,Pune,536.79,1892.87,Van,Clear,Medium,Electric,91.77,54.49,7.07,6451.07
2023-07-15,Bangalore,Delhi,1775.73,1231.78,Truck,Cloudy,High,CNG,604.99,1287.58,22.26,21416.6
2024-03-12,Ahmedabad,Lucknow,955.92,4697.28,Container,Foggy,Low,Diesel,504.9,1600.96,14.44,15869.16
2023-06-23,Jaipur,Chennai,1610.07,4147.49,Van,Foggy,Low,Electric,327.44,159.1,22.03,19448.17
2023-07-11,Delhi,Pune,1100.76,4864.61,Van,Cloudy,High,CNG,279.18,614.94,14.09,16530.58
2023-02-19,Ahmedabad,Delhi,820.44,2609.12,Truck,Clear,Low,Electric,229.89,118.15,11.76,10008.17
2023-12-10,Bangalore,Lucknow,1504.71,753.69,Truck,Stormy,High,CNG,607.69,1108.26,33.52,16138.97
2023-02-23,Pune,Mumbai,137.92,4998.73,Van,Stormy,Medium,CNG,38.66,77.26,2.19,3808.1
2023-02-28,Ahmedabad,Chennai,1395.86,3960.44,Truck,Cloudy,High,CNG,591.1,1152.12,19.8,18756.63
2023-11-08,Pune,Lucknow,1198.21,1081.22,Container,Stormy,High,Diesel,701.22,1578.76,15.53,17083.3
2024-04-16,Kolkata,Mumbai,1768.26,1528.89,Truck,Cloudy,High,CNG,618.38,1261.36,32.99,14986.06
2023-02-16,Bangalore,Ahmedabad,1300.25,2111.73,Truck,Rainy,High,Diesel,545.94,1688.64,18.62,13415.91
2024-01-05,Pune,Jaipur,972.46,2841.38,Van,Rainy,Medium,CNG,215.41,386.62,18.36,15608.73
2023-12-12,Lucknow,Delhi,479.6,4334.82,Truck,Rainy,Low,Diesel,183.33,567.55,11.09,7491.79
2023-04-21,Pune,Jaipur,1058.88,4444.94,Container,Foggy,Medium,CNG,632.13,1441.6,15.08,11537.16
2023-01-24,Pune,Delhi,1135.4,629.52,Van,Stormy,Medium,CNG,225.53,425.76,23.26,17222.12
2024-01-27,Mumbai,Delhi,1199.35,3668.36,Truck,Cloudy,Low,Petrol,382.51,1004.52,23.88,14183.71
2023-07-14,Mumbai,Jaipur,906.18,565.45,Container,Foggy,Low,Petrol,344.07,767.6,14.78,8991.82
2023-08-12,Jaipur,Hyderabad,1152.09,2265.1,Truck,Foggy,High,Diesel,469.45,1036.85,28.27,17778.12
2023-05-29,Hyderabad,Ahmedabad,951.33,2067.15,Container,Foggy,High,Electric,536.32,264.49,21.33,8783.12
2023-02-15,Hyderabad,Bangalore,574.91,2284.44,Container,Foggy,High,CNG,329.95,644.85,10.0,6167.56
2024-01-17,Pune,Ahmedabad,568.78,4772.84,Container,Clear,Medium,CNG,301.96,605.18,10.62,8262.73
2024-04-08,Bangalore,Delhi,1661.99,2566.11,Container,Clear,High,Petrol,848.44,1949.02,23.39,18663.67
2023-03-30,Bangalore,Kolkata,1601.16,1979.38,Truck,Rainy,Medium,Petrol,588.21,1413.55,24.98,22319.54
2023-12-15,Delhi,Chennai,1704.05,841.38,Container,Foggy,Medium,Electric,763.51,407.32,22.14,20786.6
2023-02-04,Lucknow,Hyderabad,1030.09,2055.5,Container,Cloudy,Low,Electric,407.47,213.67,17.53,13821.14
2023-08-25,Kolkata,Mumbai,1759.11,3504.01,Van,Stormy,Low,CNG,386.02,820.4,30.29,16525.39
2023-08-25,Kolkata,Delhi,1400.95,683.91,Container,Clear,High,Electric,608.06,289.57,22.16,20907.43
2023-09-14,Mumbai,Jaipur,901.35,1296.55,Container,Rainy,Medium,Electric,439.1,202.14,19.58,8249.46
2023-01-21,Delhi,Pune,1114.71,2139.21,Container,Clear,High,Petrol,549.73,1245.55,22.33,13403.14
2023-07-10,Ahmedabad,Lucknow,1120.17,676.9,Container,Stormy,Low,CNG,485.87,945.92,14.6,12337.63
2023-02-18,Hyderabad,Mumbai,676.01,867.92,Container,Cloudy,Low,CNG,241.07,524.01,10.85,7671.26
2024-04-14,Kolkata,Bangalore,1595.85,4127.91,Van,Clear,High,Petrol,366.37,827.62,29.56,25640.88
2023-11-26,Pune,Bangalore,705.81,1442.07,Container,Clear,Medium,Electric,290.23,153.52,9.85,10385.2
2023-01-10,Jaipur,Delhi,232.96,3282.15,Container,Foggy,High,CNG,144.55,215.88,4.27,3798.67
2023-03-21,Chennai,Pune,902.05,3863.62,Van,Rainy,Low,Petrol,187.59,338.33,20.94,14480.24
2024-03-24,Delhi,Lucknow,502.68,2802.55,Container,Stormy,Low,CNG,261.45,522.99,7.11,5883.86
2024-01-05,Pune,Bangalore,694.02,2513.36,Truck,Rainy,High,Petrol,301.06,700.98,12.07,8804.82
2023-04-30,Chennai,Jaipur,1533.43,1711.59,Container,Cloudy,High,Electric,766.06,390.82,24.99,16445.03
2024-01-29,Ahmedabad,Chennai,1386.25,1949.36,Van,Stormy,Medium,Electric,309.55,154.04,27.04,15770.29
2024-03-22,Jaipur,Pune,923.52,1038.93,Truck,Rainy,High,Petrol,353.41,728.09,18.47,12052.56
2023-02-12,Hyderabad,Lucknow,1096.06,3555.96,Truck,Stormy,Low,CNG,429.24,908.54,15.54,12639.46
2024-03-28,Jaipur,Bangalore,1559.98,891.14,Van,Clear,Low,Electric,212.37,121.9,28.9,13216.64
2023-02-11,Mumbai,Ahmedabad,558.1,3854.48,Container,Cloudy,Low,Electric,253.71,139.72,10.15,6502.12
2024-04-14,Delhi,Pune,1134.56,1776.99,Truck,Rainy,Low,CNG,356.31,678.09,15.5,15493.07
2023-01-10,Bangalore,Jaipur,1630.16,3068.5,Van,Stormy,Low,Diesel,346.19,806.27,32.45,24103.46
2023-06-04,Jaipur,Lucknow,502.76,958.02,Van,Clear,Medium,Petrol,79.19,193.24,11.2,5340.2
2023-11-20,Lucknow,Ahmedabad,999.03,1223.07,Truck,Clear,Medium,Diesel,286.53,719.84,16.48,10295.69
2023-05-04,Bangalore,Hyderabad,470.18,1280.18,Van,Clear,High,CNG,86.18,152.75,7.48,5017.99
2023-07-19,Delhi,Lucknow,348.72,4920.7,Van,Clear,High,Diesel,84.55,242.11,4.65,5356.35
2023-06-26,Pune,Hyderabad,517.21,4862.62,Van,Clear,Medium,Diesel,110.5,269.27,10.42,8948.01
2024-02-21,Delhi,Pune,1198.28,1660.56,Truck,Clear,Medium,CNG,357.08,711.69,18.24,17381.8
2024-01-02,Ahmedabad,Jaipur,585.28,4682.19,Container,Rainy,Low,Diesel,322.24,779.19,8.24,8898.38
2024-04-22,Kolkata,Chennai,1486.59,1759.91,Truck,Rainy,Low,CNG,466.19,1050.89,28.37,16916.65
2023-05-27,Jaipur,Ahmedabad,527.1,1956.56,Van,Clear,High,Petrol,102.41,250.07,9.71,8076.13
2024-01-16,Hyderabad,Kolkata,1252.37,1590.84,Truck,Cloudy,Medium,Electric,389.51,141.38,21.75,19199.49
2024-02-15,Hyderabad,Bangalore,512.78,1798.84,Van,Foggy,Medium,CNG,100.02,176.49,11.84,6525.4
2023-02-10,Pune,Bangalore,685.67,2665.13,Container,Cloudy,Medium,Diesel,327.69,901.73,12.91,8236.95
2023-01-22,Ahmedabad,Pune,487.11,2014.72,Truck,Foggy,Medium,Electric,172.0,86.41,7.05,8012.58
2023-07-06,Lucknow,Pune,1183.76,3566.76,Van,Clear,Low,Electric,200.75,108.0,19.56,17467.33
2023-01-18,Bangalore,Mumbai,882.79,2622.09,Truck,Stormy,High,Electric,418.47,239.4,19.6,9831.75
2023-12-14,Hyderabad,Pune,440.65,4682.88,Van,Stormy,Low,Petrol,105.14,217.79,7.6,7010.85
2023-07-23,Ahmedabad,Delhi,825.21,4722.53,Container,Rainy,High,CNG,592.27,1079.61,15.7,10572.8
2024-04-12,Delhi,Mumbai,1191.48,4288.23,Container,Rainy,Medium,Electric,734.17,425.09,19.07,13859.29
2023-04-13,Kolkata,Jaipur,1493.66,1407.32,Truck,Stormy,Medium,Electric,566.06,271.37,33.26,21569.75
2023-12-08,Ahmedabad,Bangalore,1231.3,4165.59,Container,Foggy,Low,CNG,626.82,1177.24,22.85,12492.9
2024-02-11,Jaipur,Kolkata,1491.27,2114.74,Van,Rainy,High,Petrol,352.29,982.69,27.38,15328.34
2023-10-11,Chennai,Bangalore,283.79,4174.7,Truck,Foggy,Low,CNG,102.8,218.33,4.51,5286.22
2023-07-23,Jaipur,Bangalore,1458.47,2582.06,Container,Clear,Low,CNG,573.46,1000.35,18.23,20297.97
2024-05-12,Jaipur,Pune,1008.42,2762.24,Van,Stormy,Low,Petrol,209.13,442.35,19.14,9972.04
2024-01-29,Ahmedabad,Lucknow,1038.28,2227.51,Van,Rainy,High,Petrol,247.56,559.34,13.2,12564.26
2023-03-24,Mumbai,Bangalore,900.93,3309.07,Container,Rainy,Medium,Petrol,517.09,1205.9,17.03,13335.32
2023-11-22,Hyderabad,Lucknow,1011.22,1126.72,Van,Clear,Medium,Petrol,161.74,416.36,12.92,10595.86
2023-10-31,Kolkata,Lucknow,975.74,2900.57,Truck,Stormy,High,Petrol,472.73,1228.22,12.56,10309.35
2023-01-24,Lucknow,Hyderabad,1094.24,1182.54,Container,Clear,Low,Diesel,382.39,1050.24,14.04,15251.04
2023-09-12,Kolkata,Chennai,1329.85,3847.76,Container,Foggy,High,Diesel,860.35,2117.36,17.6,17641.49
2023-02-07,Kolkata,Jaipur,1480.36,3931.06,Truck,Foggy,Medium,Electric,606.09,288.57,21.92,15446.5
2023-06-10,Pune,Jaipur,938.47,4195.66,Van,Rainy,Medium,Petrol,229.81,574.87,12.6,11703.25
2023-06-13,Hyderabad,Ahmedabad,893.53,4087.83,Truck,Cloudy,High,Diesel,381.83,923.16,17.99,9958.53
2024-04-29,Ahmedabad,Chennai,1374.23,3750.14,Truck,Clear,Low,CNG,419.91,769.6,24.82,18788.55
2023-04-08,Chennai,Bangalore,340.78,3622.77,Van,Stormy,High,CNG,98.07,216.05,4.83,5726.25
2023-02-16,Jaipur,Ahmedabad,478.62,2055.63,Van,Cloudy,Medium,Diesel,87.09,239.96,6.15,6550.17
2023-05-25,Chennai,Kolkata,1295.49,2579.03,Container,Cloudy,Low,Diesel,534.71,1647.42,21.67,19654.85
